SiteID,GridID,Lat,Long,Depth,Year_Start,Year_End,Years,GearRegRank,CoralStart,CoralEnd,Coral_Change,Trajectory,Turf_Change,Macro_Change,CCA_Change,total_biomass,herbivores,browsers,grazers,scrapers,HPop15km,OSDS_Eff,OSDS_N,Golf_N,Imperv,Sediment,RainAnnSum,RainMax3dS,WPow975pct,SST_MEAN,SST_STD,CHL_CLIM_M,Nuts
13,862,19.64725,-156.02296,11,2003,2014,11,5,32.3,47.7,15.4,Positive,4,0,-2.2,157.9,54.44,6,16.25,25.46,33854.6,0,0,0,6367.6,515.3,28722.9,3352.6,10.8,26.69,0.3,0.061700001,0
14,898,19.63153,-155.993,11,2003,2014,11,5,56.1,45.9,-10.2,Negative,13.7,0,1.5,55.02,13.19,0.92,7.94,3.18,36361.8,NaN,153.8,0,NaN,6973.4,168484.4,16088.5,15.3,26.69,0.3,0.061700001,NaN
15,974,19.5683833,-155.96931,12,2003,2014,11,5,31.9,31.9,0,NoChange,9.5,0,-1.9,32.93,14.31,0.89,7.88,4.53,33162.2,165912,14.2,29.8,9087.4,4669.8,67781.4,6122.6,28.8,26.69,0.3,0.0583,44
16,997,19.54841,-155.96236,11,2003,2014,11,6,52.8,64.5,11.7,Positive,-7.2,0,0.1,65.41,36.79,2.57,21.18,10.1,31728.5,106703.6,9,28.5,5436.2,3874.2,128530.9,11427,33.5,26.69,0.3,0.0583,37.5
17,1048,19.50455,-155.95306,14,2003,2014,11,5,30.8,41.2,10.4,Positive,3,0.5,-3.8,85.48,37.22,6.63,16.44,9.41,26005.3,30995.6,2.4,18.1,8295.3,3996.8,53679.1,4659.9,43,26.69,0.3,0.075999998,20.5
18,1072,19.48314,-155.94582,11,2003,2014,11,6,16,16.8,0.8,NoChange,9.2,0.3,-2,140.6,64.68,10.72,19.06,24.97,18432,1735.2,0.2,0.4,2059.5,471.7,25094.9,2203.4,43.4,26.69,0.29,0.072499998,0.6
19,1085,19.4793,-155.93275,8,2003,2014,11,1,27.1,25.7,-1.4,NoChange,9,0.3,-0.5,NaN,80.65,11.94,33.95,23.17,17717.3,235252.7,19.7,0,3812,5206.6,65578.7,5740.6,5.9,26.69,0.29,0.072499998,19.7
20,1108,19.4628167,-155.92677,11,2003,2014,11,5,31.2,32.8,1.6,NoChange,12,0.8,-5.5,72.93,44.61,6.66,14.83,19.26,13447.7,161501.7,11.6,0,5395,3754.2,120889.3,10813.6,15.7,26.69,0.29,0.072499998,11.6
21,1218,19.36916,-155.89738,10,2003,2014,11,5,36.5,44.2,7.7,Positive,-4.7,0,1.3,72.7,24.54,3.14,6.53,10.11,6499.3,61886.3,5.1,0,3422.5,6886,135280.4,15246.4,27.1,26.67,0.29,0.07,5.1
22,1299,19.29769,-155.88991,14,2003,2014,11,6,28.2,34.2,6,Positive,1.5,-0.3,-5.4,84.74,33.49,8.19,12.94,8.24,2226.2,91406.2,7.6,0,6739.9,5743.3,72629.6,8314.6,60.2,26.68,0.29,0.07,7.6
23,1447,19.16729,-155.91322,14,2003,2014,11,5,29.8,34.1,4.3,Positive,1.8,0,-1.1,126.84,47.35,6.4,12.63,23.1,2222.5,6958,0.5,0,1516.9,NaN,53375.6,7638.4,55.5,26.68,0.28,0.065499999,0.5
24,1550,19.0767167,-155.90395,12,2003,2014,11,6,30.4,39.4,9,Positive,-4.3,0,-1.6,130.45,45.2,5.6,7.38,23.48,3292.8,0,0,0,373.5,142.2,43606.7,6847,25.8,26.67,0.28,0.081699997,0
